id_kavling,id_ppjb_dev,no_ppjb_akad,tanggal_akad,kualitas_akad,lead_time_hari,status,keterangan_terlambat,keterangan
"Marison Regency Jepara 2-AA03",0924/MBN/JPA-MLO.3.7/IX/2025,250927/AD/AA03,9/27/2025,"Akad DP Belum Lunas",107,terlambat,,
"Marison Regency Jepara 2-AA04",0070/MBN/JPA-MLO.3.7/II/2026,260220/AS/AA04,2/20/2026,"Akad Sempurna",3,ontime,,
"Marison Regency Jepara 2-AA05",0999/MBN/JPA-MLO.3.7/X/2025,251107/AS/AA05,11/7/2025,"Akad Sempurna",11,terlambat,,
"Marison Regency Jepara 2-AB08",0067/MBN/JPA-MLO.3.7/II/2026,260218/AK/AB08,2/18/2026,"Akad KLT Belum Lunas",1,ontime,,
"Marison Regency Jepara 2-AB09",0015/MBN/JPA-MLO.3.7/I/2026,260109/AS/AB09,1/9/2026,"Akad Sempurna",2,ontime,,
"Marison Regency Jepara 2-AB10",1073/MBN/JPA-MLO.3.7/XII/2025,251224/AD/AB10,12/24/2025,"Akad DP Belum Lunas",5,terlambat,,
"Marison Regency Jepara 2-D29",0028/MBN/JPA-MLO.3.7/I/2026,260123/AS/D29,1/23/2026,"Akad Sempurna",4,terlambat,,
"Marison Regency Jepara 2-D35",1100/MBN/JPA-MLO.3.7/XII/2025,260109/AS/D35,1/9/2026,"Akad Sempurna",9,terlambat,,
"Marison Regency Jepara 2-D36",0050/MBN/JPA-MLO.3.7/II/2026,260206/AS/D36,2/6/2026,"Akad Sempurna",16,terlambat,,
"Marison Regency Jepara 2-D37",1061/MBN/JPA-MLO.3.7/XII/2025,251209/AS/D37,12/9/2025,"Akad Sempurna",5,terlambat,,
"Marison Regency Jepara 2-E29",1082/MBN/JPA-MLO.3.7/XII/2025,251222/AB/E29,12/22/2025,"Akad Bangunan Belum Jadi",7,terlambat,,
"Marison Regency Jepara 2-E33",0051/MBN/JPA-MLO.3.7/II/2026,260206/AS/E33,2/6/2026,"Akad Sempurna",106,terlambat,,
"Marison Regency Kuwasen-A03",0515/UAI/JPA-KWS.3.7/X/2025,251027/AD/A03,10/27/2025,"Akad DP Belum Lunas",67,terlambat,,
"Marison Regency Kuwasen-A04",0147/UAI/JPA-KWS.3.7/II/2026,260204/AS/A04,2/4/2026,"Akad Sempurna",0,ontime,,
"Marison Regency Kuwasen-A07",0492/UAI/JPA-KWS.3.7/X/2025,251017/AD/A07,10/17/2025,"Akad DP Belum Lunas",39,terlambat,,
"Marison Regency Kuwasen-A08",0355/MTI/JPA-MHJ.3.7/IX/2024,251021/AD/A08,10/21/2025,"Akad DP Belum Lunas",43,terlambat,,
"Marison Regency Kuwasen-A11",0556/UAI/JPA-KWS.3.7/X/2025,251027/AD/A11,10/27/2025,"Akad DP Belum Lunas",33,terlambat,,
"Marison Regency Kuwasen-A12",0543/UAI/JPA-KWS.3.7/X/2025,251024/AD/A12,10/24/2025,"Akad DP Belum Lunas",75,terlambat,,
"Marison Regency Kuwasen-A14",0781/UAI/JPA-KWS.3.7/XI/2025,251203/AD/A14,12/3/2025,"Akad DP Belum Lunas",4,terlambat,,
"Marison Regency Kuwasen-A15",0620/UAI/JPA-KWS.3.7/XI/2025,251105/AD/A15,11/5/2025,"Akad DP Belum Lunas",83,terlambat,,
"Marison Regency Kuwasen-A18",0118/UAI/JPA-KWS/3.7/I/2026,260206/AS/A18,2/6/2026,"Akad Sempurna",0,ontime,,
"Marison Regency Kuwasen-A19",0714/UAI/JPA-KWS.3.7/XI/2025,251218/AD/A19,12/18/2025,"Akad DP Belum Lunas",110,terlambat,,
"Marison Regency Kuwasen-B03",0185/UAI/JPA-KWS.3.7/VIII/2025,250815/AS/B03,8/15/2025,"Akad Sempurna",18,terlambat,,
"Marison Regency Kuwasen-B04",0248/UAI/JPA-KWS.3.7/VIII/2025,250823/AS/B04,8/23/2025,"Akad Sempurna",3,ontime,,
"Marison Regency Kuwasen-B05",0227/UAI/JPA-KWS.3.7/VIII/2025,250823/AS/B05,8/23/2025,"Akad Sempurna",3,ontime,,
"Marison Regency Kuwasen-B06",0167/UAI/JPA-KWS.3.7/VIII/2025,250823/AS/B06,8/23/2025,"Akad Sempurna",23,terlambat,,
"Marison Regency Kuwasen-B07",0194/UAI/JPA-KWS.3.7/VIII/2025,250823/AS/B07,8/23/2025,"Akad Sempurna",3,ontime,,
"Marison Regency Kuwasen-B08",0183/UAI/JPA-KWS.3.7/VIII/2025,250815/AS/B08,8/15/2025,"Akad Sempurna",33,terlambat,,
"Marison Regency Kuwasen-B09",0192/UAI/JPA-KWS.3.7/VIII/2025,250815/AS/B09,8/15/2025,"Akad Sempurna",15,terlambat,,
"Marison Regency Kuwasen-B10",0187/UAI/JPA-KWS.3.7/VIII/2025,250823/AS/B10,8/23/2025,"Akad Sempurna",29,terlambat,,
"Marison Regency Kuwasen-B11",0271/UAI/JPA-KWS.3.7/VIII/2025,250823/AS/B11,8/23/2025,"Akad Sempurna",0,ontime,,
"Marison Regency Kuwasen-B12",0722/UAI/JPA-KWS.3.7/XI/2025,251128/AS/B12,11/28/2025,"Akad Sempurna",6,terlambat,,
"Marison Regency Kuwasen-B13",0553/UAI/JPA-KWS.3.7/X/2025,251028/AS/B13,10/28/2025,"Akad Sempurna",3,ontime,,
"Marison Regency Kuwasen-B14",0610/UAI/JPA-KWS.3.7/XI/2025,251104/AS/B14,11/4/2025,"Akad Sempurna",6,terlambat,,
"Marison Regency Kuwasen-B15",0453/UAI/JPA-KWS.3.7/X/2025,251010/AS/B15,10/10/2025,"Akad Sempurna",1,ontime,,
"Marison Regency Kuwasen-B16",0239/UAI/JPA-KWS.3.7/VIII/2025,250901/AS/B16,9/1/2025,"Akad Sempurna",9,terlambat,,
"Marison Regency Kuwasen-B17",0408/UAI/JPA-KWS.3.7/IX/2025,250930/AS/B17,9/30/2025,"Akad Sempurna",5,terlambat,,
"Marison Regency Kuwasen-B18",0863/UAI/JPA-KWS.3.7/XII/2025,251212/AS/B18,12/12/2025,"Akad Sempurna",5,terlambat,,
"Marison Regency Kuwasen-B19",0051/UAI/JPA-KWS.3.7/I/2026,260113/AS/B19,1/13/2026,"Akad Sempurna",2,ontime,,
"Marison Regency Kuwasen-B20",0186/UAI/JPA-KWS.3.7/VIII/2025,250826/AS/B20,8/26/2025,"Akad Sempurna",40,terlambat,,
"Marison Regency Kuwasen-C01",0225/UAI/JPA-KWS.3.7/VIII/2025,250823/AS/C01,8/23/2025,"Akad Sempurna",6,terlambat,,
"Marison Regency Kuwasen-C02",0242/UAI/JPA-KWS.3.7/VIII/2025,250823/AS/C02,8/23/2025,"Akad Sempurna",21,terlambat,,
"Marison Regency Kuwasen-C03",0496/UAI/JPA-KWS.3.7/X/2025,251017/AS/C03,10/17/2025,"Akad Sempurna",3,ontime,,
"Marison Regency Kuwasen-C04",0297/UAI/JPA-KWS.3.7/VIII/2025,250829/AS/C04,8/29/2025,"Akad Sempurna",14,terlambat,,
"Marison Regency Kuwasen-C05",0741/UAI/JPA-KWS.3.7/XI/2025,251126/AS/C05,11/26/2025,"Akad Sempurna",7,terlambat,,
"Marison Regency Kuwasen-C06",0887/UAI/JPA-KWS.3.7/XII/2025,251215/AS/C06,12/15/2025,"Akad Sempurna",2,ontime,,
"Marison Regency Kuwasen-C08",0344/UAI/JPA-KWS.3.7/IX/2025,250923/AS/C08,9/23/2025,"Akad Sempurna",9,terlambat,,
"Marison Regency Kuwasen-C09",0334/UAI/JPA-KWS.3.7/IX/2025,251008/AS/C09,10/8/2025,"Akad Sempurna",40,terlambat,,
"Marison Regency Kuwasen-C10",0259/UAI/JPA-KWS.3.7/VIII/2025,250823/AS/C10,8/23/2025,"Akad Sempurna",13,terlambat,,
"Marison Regency Kuwasen-C11",0217/UAI/JPA-KWS.3.7/VIII/2025,250823/AS/C11,8/23/2025,"Akad Sempurna",38,terlambat,,
"Marison Regency Kuwasen-C12",0853/UAI/JPA-KWS.3.7/XII/2025,251218/AS/C12,12/18/2025,"Akad Sempurna",7,terlambat,,
"Marison Regency Kuwasen-C13",0665/UAI/JPA-KWS.3.7/XI/2025,251114/AD/C13,11/14/2025,"Akad DP Belum Lunas",2,ontime,,
"Marison Regency Kuwasen-C14",0532/UAI/JPA-KWS.3.7/X/2025,251024/AS/C14,10/24/2025,"Akad Sempurna",4,terlambat,,
"Marison Regency Kuwasen-C15",0557/UAI/JPA-KWS.3.7/X/2025,251027/AS/C15,10/27/2025,"Akad Sempurna",3,ontime,,
"Marison Regency Kuwasen-C16",0772/UAI/JPA-KWS.3.7/XI/2025,251201/AD/C16,12/1/2025,"Akad DP Belum Lunas",25,terlambat,,
"Marison Regency Kuwasen-C17",0629/UAI/JPA-KWS.3.7/XI/2025,251107/AD/C17,11/7/2025,"Akad DP Belum Lunas",4,terlambat,,
"Marison Regency Kuwasen-C18",0632/UAI/JPA-KWS.3.7/XI/2025,251112/AS/C18,11/12/2025,"Akad Sempurna",3,ontime,,
"Marison Regency Kuwasen-C19",0181/UAI/JPA-KWS.3.7/VIII/2025,250826/AS/C19,8/26/2025,"Akad Sempurna",32,terlambat,,
"Marison Regency Kuwasen-C20",0182/UAI/JPA-KWS.3.7/VIII/2025,250826/AS/C20,8/26/2025,"Akad Sempurna",32,terlambat,,
"Marison Regency Kuwasen-D01",0389/UAI/JPA-KWS/3.7/IX/2025,250927/AS/D01,9/27/2025,"Akad Sempurna",0,ontime,,
"Marison Regency Kuwasen-D02",0542/UAI/JPA-KWS.3.7/X/2025,251024/AS/D02,10/24/2025,"Akad Sempurna",5,terlambat,,
"Marison Regency Kuwasen-D03",0452/UAI/JPA-KWS.3.7/X/2025,251010/AS/D03,10/10/2025,"Akad Sempurna",4,terlambat,,
"Marison Regency Kuwasen-D04",0817/UAI/JPA-KWS.3.7/XII/2025,251218/AS/D04,12/18/2025,"Akad Sempurna",11,terlambat,,
"Marison Regency Kuwasen-D05",0742/UAI/JPA-KWS.3.7/XI/2025,251126/AS/D05,11/26/2025,"Akad Sempurna",4,terlambat,,
"Marison Regency Kuwasen-D06",0630/UAI/JPA-KWS.3.7/XI/2025,251107/AS/D06,11/7/2025,"Akad Sempurna",4,terlambat,,
"Marison Regency Kuwasen-D07",0667/UAI/JPA-KWS.3.7/XI/2025,251014/AS/D07,10/14/2025,"Akad Sempurna",4,terlambat,,
"Marison Regency Kuwasen-D09",0409/UAI/JPA-KWS.3.7/IX/2025,250930/AS/D09,9/30/2025,"Akad Sempurna",6,terlambat,,
"Marison Regency Kuwasen-D10",0491/UAI/JPA-KWS.3.7/X/2025,251017/AD/D10,10/17/2025,"Akad DP Belum Lunas",1,ontime,,
"Marison Regency Kuwasen-D11",0393/UAI/JPA-KWS.3.7/IX/2025,250926/AS/D11,9/26/2025,"Akad Sempurna",7,terlambat,,
"Marison Regency Kuwasen-D12",0782/UAI/JPA-KWS.3.7/XI/2025,251203/AS/D12,12/3/2025,"Akad Sempurna",4,terlambat,,
"Marison Regency Kuwasen-D14",0859/UAI/JPA-KWS.3.7/XII/2025,251212/AS/D14,12/12/2025,"Akad Sempurna",2,ontime,,
"Marison Regency Kuwasen-D16",0858/UAI/JPA-KWS.3.7/XII/2025,251212/AS/D16,12/12/2025,"Akad Sempurna",2,ontime,,
"Marison Regency Kuwasen-D17",0756/UAI/JPA-KWS.3.7/XI/2025,251126/AS/D17,11/26/2025,"Akad Sempurna",2,ontime,,
"Marison Regency Kuwasen-D18",0666/UAI/JPA-KWS.3.7/XI/2025,251114/AS/D18,11/14/2025,"Akad Sempurna",1,ontime,,
"Marison Regency Kuwasen-D19",0740/UAI/JPA-KWS.3.7/XI/2025,251128/AD/D19,11/28/2025,"Akad DP Belum Lunas",8,terlambat,,
"Marison Regency Kuwasen-D20",0198/UAI/JPA-KWS.3.7/VIII/2025,251216/AD/D20,12/16/2025,"Akad DP Belum Lunas",108,terlambat,,
"Marison Regency Kuwasen-E01",0656/UAI/JPA-KWS.3.7/XI/2025,251114/AS/E01,11/14/2025,"Akad Sempurna",36,terlambat,,
"Marison Regency Kuwasen-E03",0911/UAI/JPA-KWS.3.7/XII/2025,251217/AS/E03,12/17/2025,"Akad Sempurna",1,ontime,,
"Marison Regency Kuwasen-E04",0826/UAI/JPA-KWS.3.7/XII/2025,251212/AS/E04,12/12/2025,"Akad Sempurna",5,terlambat,,
"Marison Regency Kuwasen-E05",0867/UAI/JPA-KWS.3.7/XII/2025,251212/AS/E05,12/12/2025,"Akad Sempurna",1,ontime,,
"Marison Regency Kuwasen-E06",0080/UAI/JPA-KWS.3.7/I/2026,260118/AS/E06,1/18/2026,"Akad Sempurna",1,ontime,,
"Marison Regency Kuwasen-E07",0157/UAI/JPA-KWS.3.7/II/2026,260206/AD/E07,2/6/2026,"Akad DP Belum Lunas",16,terlambat,,
"Marison Regency Kuwasen-E10",0705/UAI/JPA-KWS.3.7/XI/2025,251118/AS/E10,11/18/2025,"Akad Sempurna",13,terlambat,,
"Marison Regency Kuwasen-E11",0684/UAI/JPA-KWS.3.7/XI/2025,251114/AD/E11,11/14/2025,"Akad DP Belum Lunas",13,terlambat,,
"Marison Regency Kuwasen-E12",0914/UAI/JPA-KWS.3.7/XII/2025,251218/AD/E12,12/18/2025,"Akad DP Belum Lunas",6,terlambat,,
"Marison Regency Kuwasen-E13",0930/UAI/JPA-KWS.3.7/XII/2025,251219/AS/E13,12/19/2025,"Akad Sempurna",3,ontime,,
"Marison Regency Kuwasen-E14",0932/UAI/JPA-KWS.3.7/XII/2025,251219/AS/E14,12/19/2025,"Akad Sempurna",3,ontime,,
"Marison Regency Kuwasen-E16",0239/UAI/JPA-KWS.3.7/II/2026,260223/AS/E16,2/23/2026,"Akad Sempurna",0,ontime,,
"Marison Regency Kuwasen-E17",0138/UAI/JPA-KWS.3.7/II/2026,260206/AS/E17,2/6/2026,"Akad Sempurna",8,terlambat,,
"Marison Regency Kuwasen-E18",0037/UAI/JPA-KWS.3.7/I/2026,260109/AS/E18,1/9/2026,"Akad Sempurna",3,ontime,,
"Marison Regency Kuwasen-E19",0974/UAI/JPA-KWS.3.7/XII/2025,260109/AS/E19,1/9/2026,"Akad Sempurna",12,terlambat,,
"Marison Regency Kuwasen-E20",0945/UAI/JPA-KWS.3.7/XII/2025,251219/AS/E20,12/19/2025,"Akad Sempurna",3,ontime,,
"Marison Regency Kuwasen-I02",0061/UAI/JPA-KWS.3.7/I/2026,260115/AS/I02,1/15/2026,"Akad Sempurna",3,ontime,,
"Marison Regency Kuwasen-I03",0045/UAI/JPA-KWS.3.7/I/2026,260113/AS/I03,1/13/2026,"Akad Sempurna",1,ontime,,
"Marison Regency Kuwasen-I11",0054/UAI/JPA-KWS.3.7/I/2026,260128/AS/I11,1/28/2026,"Akad Sempurna",9,terlambat,,
"Marison Regency Kuwasen-I20",0861/UAI/JPA-KWS.3.7/XII/2025,251212/AB/I20,12/12/2025,"Akad Bangunan Belum Jadi",14,terlambat,,
"Marison Regency Jepara 2-E31",0793/MBN/JPA-MLO.3.7/VIII/2025,250613/AS/E31,6/13/2025,"Akad Sempurna",0,ontime,,
"Marison Regency Kuwasen-A01",0551/UAI/JPA-KWS/3.7/X/2025,251025/AS/A01,10/25/2025,"Akad Sempurna",0,ontime,,
"Marison Regency Kuwasen-A02",0978/UAI/JPA-KWS/3.7/XII/2025,251231/AS/A02,12/31/2025,"Akad Sempurna",0,ontime,,
"Marison Regency Kuwasen-A04",0147/UAI/JPA-KWS.3.7/II/2026,260204/AS/A04,2/4/2026,"Akad Sempurna",0,ontime,,
"Marison Regency Kuwasen-A05",0028/UAI/JPA-KWS/3.7/I/2026,260110/AS/A05,1/10/2026,"Akad Sempurna",0,ontime,,
"Marison Regency Kuwasen-A06",0591/UAI/JPA-KWS/3.7/X/2025,251030/AS/A06,10/30/2025,"Akad Sempurna",0,ontime,,
"Marison Regency Kuwasen-A09",0552/UAI/JPA-KWS/3.7/X/2025,251025/AS/A09,10/25/2025,"Akad Sempurna",0,ontime,,
"Marison Regency Kuwasen-A10",0314/UAI/JPA-KWS/3.7/IX/2025,250908/AS/A10,9/8/2025,"Akad Sempurna",0,ontime,,
"Marison Regency Kuwasen-A13",0388/UAI/JPA-KWS/3.7/IX/2025,250925/AS/A13,9/25/2025,"Akad Sempurna",0,ontime,,
"Marison Regency Kuwasen-A16",0587/UAI/JPA-KWS/3.7/X/2025,251029/AS/A16,10/29/2025,"Akad Sempurna",0,ontime,,
"Marison Regency Kuwasen-A17",0038/UAI/JPA-KWS.3.7/I/2026,260110/AS/A17,1/10/2026,"Akad Sempurna",0,ontime,,
"Marison Regency Kuwasen-A18",0118/UAI/JPA-KWS/3.7/I/2026,260206/AS/A18,2/6/2026,"Akad Sempurna",0,ontime,,
"Marison Regency Kuwasen-E16",0239/UAI/JPA-KWS.3.7/II/2026,251218/AS/E16,12/18/2025,"Akad Sempurna",0,ontime,,
"Marison Regency Kuwasen-C07",0315/UAI/JPA-KWS/3.7/IX/2025,"Data Belum Lengkap",,"Akad Sempurna",0,ontime,"CASH BERTAHAP BELUM AKAD",
"Marison Regency Kuwasen-D01",0389/UAI/JPA-KWS/3.7/IX/2025,250927/AS/D01,9/27/2025,"Akad Sempurna",0,ontime,,
"Marison Regency Kuwasen-D08",0541/UAI/JPA-KWS/3.7/X/2025,251024/AS/D08,10/24/2025,"Akad Sempurna",0,ontime,,
"Marison Regency Kuwasen-D13",0957/UAI/JPA-KWS/3.7/XII/2025,251222/AS/D13,12/22/2025,"Akad Sempurna",0,ontime,,
"Marison Regency Kuwasen-E02",0942/UAI/JPA-KWS/3.7/XII/2025,251220/AS/E02,12/20/2025,"Akad Sempurna",0,ontime,,
"Marison Regency Kuwasen-E16",0239/UAI/JPA-KWS.3.7/II/2026,260223/AS/E16,2/23/2026,"Akad Sempurna",0,ontime,,
"Marison Regency Kuwasen-D15","ID Tidak Ditemukan","Data Belum Lengkap",,,,,,
